frame,time_seconds,frame_extracted,particle_bed_prediction_found,inner_pipe_prediction_found,particle_bed_gt_created,inner_pipe_gt_created
0,0.0,1,1,1,0,0
1500,7.5,1,1,1,0,0
3000,15.0,1,1,1,0,0
4500,22.5,1,1,1,0,0
6000,30.0,1,1,1,0,0
7500,37.5,1,1,1,0,0
9000,45.0,1,1,1,0,0
10500,52.5,1,1,1,0,0
12000,60.0,1,1,1,0,0
13500,67.5,1,1,1,0,0
15000,75.0,1,1,1,0,0
16500,82.5,1,1,1,0,0
18000,90.0,1,1,1,0,0
19500,97.5,1,1,1,0,0
21000,105.0,1,1,1,0,0
22500,112.5,1,1,1,0,0
24000,120.0,1,1,1,0,0
25500,127.5,1,1,1,0,0
27000,135.0,1,1,1,0,0
28500,142.5,1,1,1,0,0
30000,150.0,1,1,1,0,0
31500,157.5,1,1,1,0,0
33000,165.0,1,1,1,0,0
34159,170.795,1,1,1,0,0
