frame,time_seconds,track_id,x,y,w,h,center_x,center_y,area,bed_edge_y,processing_time_s
0,0.0,1,0,430,258,110,129.0,485.0,19021.5,396.0,0.040889
0,0.0,2,451,373,500,167,701.0,456.5,54467.0,396.0,0.040889
0,0.0,3,484,368,13,20,490.5,378.0,207.0,396.0,0.040889
0,0.0,4,674,359,31,4,689.5,361.0,82.5,396.0,0.040889
0,0.0,5,0,341,209,60,104.5,371.0,10956.5,396.0,0.040889
0,0.0,6,250,339,146,55,323.0,366.5,5580.5,396.0,0.040889
0,0.0,7,152,319,48,12,176.0,325.0,346.5,396.0,0.040889
0,0.0,8,681,303,279,83,820.5,344.5,13330.5,396.0,0.040889
0,0.0,9,909,302,16,18,917.0,311.0,185.0,396.0,0.040889
0,0.0,10,19,245,315,15,176.5,252.5,2101.0,396.0,0.040889
0,0.0,11,541,242,30,6,556.0,245.0,91.0,396.0,0.040889
0,0.0,12,874,236,59,58,903.5,265.0,2454.5,396.0,0.040889
0,0.0,13,340,230,10,13,345.0,236.5,50.0,396.0,0.040889
0,0.0,14,234,223,93,13,280.5,229.5,514.5,396.0,0.040889
0,0.0,15,885,212,17,14,893.5,219.0,90.5,396.0,0.040889
0,0.0,16,0,188,231,49,115.5,212.5,2043.0,396.0,0.040889
0,0.0,17,637,160,10,26,642.0,173.0,173.5,396.0,0.040889
0,0.0,18,61,141,121,40,121.5,161.0,4492.5,396.0,0.040889
0,0.0,19,293,139,39,37,312.5,157.5,1310.0,396.0,0.040889
0,0.0,20,412,134,119,42,471.5,155.0,3839.0,396.0,0.040889
0,0.0,21,44,99,144,37,116.0,117.5,3491.5,396.0,0.040889
0,0.0,22,0,30,121,107,60.5,83.5,6296.0,396.0,0.040889
0,0.0,23,485,0,475,313,722.5,156.5,53581.5,396.0,0.040889
0,0.0,24,710,0,93,64,756.5,32.0,2995.5,396.0,0.040889
0,0.0,25,691,0,15,77,698.5,38.5,950.0,396.0,0.040889
0,0.0,26,236,0,392,183,432.0,91.5,41007.0,396.0,0.040889
0,0.0,27,210,0,19,84,219.5,42.0,1145.0,396.0,0.040889
0,0.0,28,99,0,110,71,154.0,35.5,3876.5,396.0,0.040889
1,0.005,1,27,432,147,59,106.198,466.198,2745.5,396.0,0.021997
1,0.005,2,451,374,500,166,701.0,456.9,52837.0,396.0,0.021997
1,0.005,3,485,369,11,18,490.5,378.0,139.5,396.0,0.021997
1,0.005,4,674,359,31,4,689.5,361.0,82.5,396.0,0.021997
1,0.005,5,0,342,208,57,104.1,370.6,10552.0,396.0,0.021997
1,0.005,6,284,340,44,50,309.399,365.3,1107.0,396.0,0.021997
1,0.005,7,152,319,48,12,176.0,325.0,346.5,396.0,0.021997
1,0.005,8,682,305,278,80,820.9,344.9,12448.5,396.0,0.021997
1,0.005,9,909,302,15,17,916.6,310.6,163.0,396.0,0.021997
1,0.005,10,19,245,315,15,176.5,252.5,2101.0,396.0,0.021997
1,0.005,11,543,218,37,6,560.4,225.798,122.0,396.0,0.021997
1,0.005,12,874,238,59,54,903.5,265.0,2294.0,396.0,0.021997
1,0.005,13,340,230,10,13,345.0,236.5,50.0,396.0,0.021997
1,0.005,14,246,224,47,9,271.699,228.7,254.0,396.0,0.021997
1,0.005,15,884,212,18,13,893.1,218.6,102.0,396.0,0.021997
1,0.005,16,0,188,230,46,115.1,211.3,1602.0,396.0,0.021997
1,0.005,17,638,160,8,25,642.0,172.6,112.0,396.0,0.021997
1,0.005,18,61,142,121,39,121.5,161.4,4404.5,396.0,0.021997
1,0.005,19,294,139,38,37,312.9,157.5,1278.0,396.0,0.021997
1,0.005,20,412,134,118,41,471.1,154.6,3775.0,396.0,0.021997
1,0.005,21,44,99,144,37,116.0,117.5,3439.5,396.0,0.021997
1,0.005,22,0,30,122,107,60.9,83.5,6278.0,396.0,0.021997
1,0.005,23,592,0,368,286,765.304,145.699,49725.0,396.0,0.021997
1,0.005,24,710,0,93,64,756.5,32.0,3050.5,396.0,0.021997
1,0.005,25,691,0,16,77,698.9,38.5,1045.0,396.0,0.021997
1,0.005,26,236,0,393,183,432.4,91.5,41320.5,396.0,0.021997
1,0.005,27,210,0,20,84,219.9,42.0,1171.0,396.0,0.021997
1,0.005,28,98,0,111,71,153.6,35.5,3906.0,396.0,0.021997
1,0.005,29,73,522,142,18,144.0,531.0,1809.0,396.0,0.021997
